,park_name,reception_time,reference_time,sunrise_time,sunset_time,clouds,rain_1h,snow_1h,wind_speed,wind_deg,humidity,press,temp,temp_feels,temp_max,temp_min,status,detailed_status
0,Prospect Park,1585989513,1585989513,1585996413,1586042608,90,0.25,0,5.1,40,93,1016,46.4,38.7,48.2,44.6,Rain,light rain
1,Prospect Park,1585990805,1585990804,1585996413,1586042608,90,0.25,0,4.6,40,93,1016,46.6,39.56,48.2,44.6,Rain,light rain
2,Prospect Park,1585991403,1585991402,1585996413,1586042608,90,0.0,0,4.6,40,93,1016,46.69,39.67,48.2,44.6,Rain,light rain
3,Prospect Park,1585992003,1585992002,1585996413,1586042608,90,0.0,0,4.6,40,93,1016,46.85,39.87,48.2,45.0,Rain,light rain
4,Prospect Park,1585992603,1585992602,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,47.05,40.75,48.99,45.0,Rain,light rain
5,Prospect Park,1585993203,1585992602,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,47.05,40.75,48.99,45.0,Rain,light rain
6,Prospect Park,1585993802,1585993618,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,47.43,41.22,48.99,46.0,Rain,light rain
7,Prospect Park,1585994403,1585994402,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,47.73,41.59,50.0,46.0,Rain,light rain
8,Prospect Park,1585995002,1585994402,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,47.73,41.59,50.0,46.0,Rain,light rain
9,Prospect Park,1585995603,1585995602,1585996413,1586042608,90,0.0,0,4.1,50,93,1016,48.2,42.17,50.0,46.0,Rain,light rain
10,Prospect Park,1585996203,1585996032,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,48.4,41.59,51.01,46.0,Clouds,overcast clouds
11,Prospect Park,1585996802,1585996802,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,48.7,41.95,51.01,46.0,Clouds,overcast clouds
12,Prospect Park,1585997402,1585996802,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,48.7,41.95,51.01,46.0,Clouds,overcast clouds
13,Prospect Park,1585998005,1585997921,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,49.23,42.58,52.0,46.0,Clouds,overcast clouds
14,Prospect Park,1585998602,1585998602,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,49.68,43.14,52.0,46.99,Clouds,overcast clouds
15,Prospect Park,1585999202,1585999202,1585996413,1586042608,90,0.0,0,4.1,30,81,1017,50.02,43.56,53.01,46.99,Clouds,overcast clouds
16,Prospect Park,1585999802,1585999802,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,50.16,45.0,53.01,46.99,Clouds,overcast clouds
17,Prospect Park,1586000402,1586000402,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,50.68,45.63,53.01,48.0,Clouds,overcast clouds
18,Prospect Park,1586001002,1586000402,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,50.68,45.63,53.01,48.0,Clouds,overcast clouds
19,Prospect Park,1586001603,1586001598,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,51.13,46.18,54.0,48.0,Clouds,overcast clouds
20,Prospect Park,1586002202,1586001598,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,51.13,46.18,54.0,48.0,Clouds,overcast clouds
21,Prospect Park,1586002803,1586002802,1585996413,1586042608,90,0.0,0,3.1,70,81,1017,51.91,47.14,55.0,48.0,Clouds,overcast clouds
22,Prospect Park,1586007003,1586007002,1585996413,1586042608,90,0.0,0,2.1,50,66,1017,54.43,50.23,57.99,50.0,Clouds,overcast clouds
23,Prospect Park,1586007603,1586007602,1585996413,1586042608,90,0.0,0,2.1,50,66,1017,54.39,50.2,57.99,50.0,Clouds,overcast clouds
24,Prospect Park,1586008202,1586008202,1585996413,1586042608,90,0.0,0,2.1,50,66,1017,54.66,50.52,59.0,50.0,Clouds,overcast clouds
25,Prospect Park,1586008804,1586008804,1585996413,1586042608,75,0.0,0,2.61,39,54,1016,54.79,48.99,59.0,50.0,Clouds,broken clouds
26,Prospect Park,1586009402,1586009402,1585996413,1586042608,20,0.0,0,2.61,39,47,1017,55.02,48.65,59.0,50.0,Clouds,few clouds
27,Prospect Park,1586010002,1586010002,1585996413,1586042608,20,0.0,0,2.61,39,47,1017,55.31,48.97,60.01,50.0,Clouds,few clouds
